Squad,#Pl,TacklesTkl,TacklesTklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,PressuresPress,PressuresSucc,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Int,Tkl+Int,Err
Arsenal,30,690,436,326,268,96,262,667,39.3,405,5449,1753,32.2,1784,2395,1270,484,1174,12
Bournemouth,22,582,331,298,212,72,191,551,34.7,360,5642,1553,27.5,1895,2566,1181,466,1048,8
Brighton,24,692,447,411,235,46,230,727,31.6,497,6163,1737,28.2,2544,2589,1030,556,1248,19
Burnley,24,578,351,297,223,58,220,632,34.8,412,5957,1637,27.5,2036,2667,1254,529,1107,9
Chelsea,26,720,445,357,285,78,238,583,40.8,345,5280,1730,32.8,1924,2329,1027,514,1234,10
Crystal Palace,28,760,451,429,268,63,258,682,37.8,424,5664,1661,29.3,2195,2446,1023,631,1391,13
Everton,30,749,459,408,260,81,247,672,36.8,425,6595,1817,27.6,2454,2788,1353,580,1329,9
Huddersfield,25,829,464,388,349,92,241,674,35.8,433,6575,2029,30.9,2364,2875,1336,546,1375,14
Leicester City,27,703,433,376,261,66,203,662,30.7,459,6060,1761,29.1,2233,2644,1183,583,1286,6
Liverpool,27,706,448,299,301,106,207,564,36.7,357,5692,1885,33.1,1583,2718,1391,524,1230,10
Manchester City,25,641,406,259,275,107,219,609,36,390,4699,1580,33.6,1239,2115,1345,469,1110,15
Manchester Utd,27,600,375,273,250,77,192,581,33,389,5773,1653,28.6,1835,2673,1265,595,1195,11
Newcastle Utd,27,728,410,392,257,79,230,660,34.8,430,6405,1696,26.5,2482,2728,1195,559,1287,9
Southampton,26,766,482,410,274,82,233,632,36.9,399,5811,1814,31.2,2113,2482,1216,522,1288,10
Stoke City,30,768,435,423,276,69,253,643,39.3,390,6000,1636,27.3,2415,2585,1000,541,1309,10
Swansea City,26,659,394,313,258,88,214,603,35.5,389,6117,1710,28,2192,2699,1226,525,1184,9
Tottenham,25,695,422,286,295,114,225,601,37.4,376,5132,1762,34.3,1480,2351,1301,455,1150,11
Watford,29,736,454,376,284,76,219,606,36.1,387,5967,1786,29.9,2063,2712,1192,594,1330,13
West Brom,24,669,397,369,227,73,259,700,37,441,5654,1595,28.2,2279,2306,1069,630,1299,10
West Ham,27,662,411,349,238,75,220,646,34.1,426,5903,1744,29.5,2427,2418,1058,572,1234,9
