Squad,#Pl,TacklesTkl,TacklesTklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,PressuresPress,PressuresSucc,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Int,Tkl+Int,Err
Arsenal,28,623,398,305,238,80,207,570,36.3,363,5649,1670,29.6,1812,2628,1209,411,1034,11
Bournemouth,28,547,341,290,196,61,173,496,34.9,323,5635,1462,25.9,2042,2427,1166,464,1011,7
Brighton,21,712,439,396,226,90,205,587,34.9,382,5993,1675,27.9,2373,2494,1126,502,1214,10
Burnley,23,618,355,301,254,63,223,587,38,364,5615,1473,26.2,1899,2461,1255,501,1119,16
Cardiff City,25,708,417,377,252,79,200,591,33.8,391,6793,1835,27,2534,3050,1209,610,1318,10
Chelsea,24,655,426,317,251,87,204,534,38.2,330,5454,1673,30.7,1715,2352,1387,443,1098,3
Crystal Palace,26,777,457,428,262,87,228,618,36.9,390,6102,1707,28,2539,2498,1065,544,1321,11
Everton,23,777,458,389,283,105,216,568,38,352,6153,1895,30.8,2073,2731,1349,633,1410,15
Fulham,28,649,411,356,240,53,201,537,37.4,336,5908,1654,28,2268,2594,1046,608,1257,10
Huddersfield,31,763,430,366,310,87,224,691,32.4,467,6563,1860,28.3,2286,2972,1305,599,1362,9
Leicester City,25,730,438,394,264,72,214,568,37.7,354,6092,1861,30.5,2175,2681,1236,477,1207,11
Liverpool,23,617,380,265,257,95,193,571,33.8,378,5708,1815,31.8,1623,2499,1586,424,1041,10
Manchester City,21,529,359,212,229,88,182,498,36.5,316,5029,1595,31.7,1273,2300,1456,402,931,5
Manchester Utd,28,619,378,319,230,70,205,542,37.8,337,5682,1597,28.1,2010,2486,1186,438,1057,8
Newcastle Utd,24,736,431,398,269,69,223,640,34.8,417,6637,1765,26.6,2606,2893,1138,539,1275,7
Southampton,30,753,437,374,276,103,219,648,33.8,429,6400,1893,29.6,2175,2801,1424,586,1339,12
Tottenham,28,666,408,339,220,107,215,570,37.7,355,5030,1530,30.4,1689,2152,1189,441,1107,6
Watford,25,689,432,365,249,75,215,617,34.8,402,6203,1795,28.9,2289,2669,1245,504,1193,4
West Ham,26,748,459,406,273,69,244,729,33.5,485,6054,1687,27.9,2393,2608,1053,584,1332,7
Wolves,21,750,425,395,287,68,277,721,38.4,444,5925,1665,28.1,2198,2740,987,479,1229,6
